IMPERIAL COLLEGE SUPERSONIC WIND TUNNEL -  CONTROLLER RESULTS FILE 
Run time: 11:15:27 26-11-2020
Barometric pressure: 1.0199 BarA
Nozzle: Mach 2.0
Camera delay (ms): 0.0000
Time[s],PV[BarA],SP[BarA],IO[mA]
0.02300,1.01990,1.09007,4.50523
0.03300,1.01979,1.09007,4.56867
0.12300,1.02009,1.09007,4.59617
0.16200,1.01949,1.09007,4.59984
0.18800,1.01918,1.09007,4.61704
0.19800,1.02009,1.09007,4.62469
0.20800,1.01979,1.09007,4.63213
0.23600,1.02009,1.09007,4.65015
0.24600,1.01888,1.09007,4.65627
0.25600,1.01979,1.09007,4.68750
0.30100,1.01918,1.09007,4.71553
0.33500,1.01979,1.09007,4.71881
0.34500,1.02009,1.09007,4.73923
0.36900,1.01979,1.09007,4.74009
0.38000,1.02009,1.09007,4.74612
0.39000,1.01949,1.09007,4.76853
0.41600,1.01979,1.09007,4.77094
0.42700,1.01949,1.09007,4.77902
0.44800,1.01949,1.09007,4.79323
0.45800,1.01918,1.09007,4.80028
0.46800,1.01918,1.09007,4.80981
0.48800,1.01949,1.09007,4.82323
0.49800,1.01918,1.09007,4.82897
0.50800,1.02009,1.09007,4.83580
0.51800,1.01949,1.09007,4.85049
0.53300,1.01979,1.09007,4.85119
0.54400,1.01949,1.09007,4.85824
0.55500,1.01918,1.09007,4.87892
0.57900,1.02009,1.09007,4.88319
0.58900,1.02040,1.09007,4.88746
0.59900,1.01949,1.09007,4.91145
0.62600,1.01979,1.09007,4.91362
0.63600,1.01979,1.09007,4.91794
0.64600,1.02009,1.09007,4.93517
0.66300,1.02040,1.09007,4.93680
0.67300,1.02009,1.09007,4.94249
0.68300,1.01979,1.09007,4.96580
0.71000,1.01888,1.09007,4.96830
0.72000,1.02070,1.09007,4.97474
0.73000,1.01979,1.09007,4.99320
0.74800,1.01979,1.09007,4.99481
0.75800,1.02009,1.09007,4.99999
0.76800,1.01979,1.09007,5.02367
0.79600,1.01979,1.09007,5.02663
0.80600,1.01979,1.09007,5.03540
0.82900,1.01918,1.09007,5.04973
0.83900,1.01949,1.09007,5.05684
0.84900,1.01918,1.09007,5.06649
0.87400,1.01949,1.09007,5.08347
0.88400,1.01949,1.09007,5.08970
0.89400,1.02040,1.09007,5.09521
0.91500,1.01918,1.09007,5.10962
0.92500,1.01918,1.09007,5.11520
0.93600,1.01979,1.09007,5.13880
0.96200,1.01949,1.09007,5.14123
0.97200,1.01979,1.09007,5.14774
0.98200,1.01888,1.09007,5.16596
1.00000,1.01979,1.09007,5.16795
1.01000,1.02009,1.09007,5.17288
1.02000,1.01949,1.09007,5.18145
1.04700,1.01979,1.09007,5.19794
1.05700,1.01949,1.09007,5.20341
1.06700,1.01918,1.09007,5.22471
1.08800,1.01918,1.09007,5.22789
1.09800,1.01979,1.09007,5.23409
1.10800,1.01918,1.09007,5.25488
1.13100,1.01918,1.09007,5.25721
1.14100,1.02009,1.09007,5.26307
1.15100,1.01979,1.09007,5.28594
1.17900,1.02040,1.09007,5.28691
1.19000,1.02009,1.09007,5.29327
1.22200,1.01918,1.09007,5.31479
1.23200,1.01918,1.09007,5.32221
1.25300,1.01918,1.09007,5.33853
1.26300,1.01918,1.09007,5.34582
1.27400,1.01979,1.09007,5.35429
1.30300,1.01949,1.09007,5.37463
1.31300,1.02009,1.09007,5.37821
1.32400,1.01918,1.09007,5.39589
1.34100,1.02009,1.09007,5.39668
1.35100,1.02040,1.09007,5.40175
1.36100,1.02040,1.09007,5.42213
1.38400,1.01949,1.09007,5.42397
1.39400,1.02070,1.09007,5.42816
1.40400,1.02161,1.09007,5.44785
1.42800,1.02252,1.09007,5.44680
1.43800,1.02222,1.09007,5.44950
1.44800,1.02040,1.09007,5.46661
1.47000,1.02070,1.09007,5.46939
1.48000,1.01888,1.09007,5.47943
1.49000,1.01949,1.09007,5.50277
1.50900,1.02040,1.09007,5.50801
1.51900,1.02040,1.09007,5.51358
1.52900,1.02161,1.09007,5.51901
1.55200,1.02009,1.09007,5.53175
1.56200,1.01858,1.09007,5.53888
1.57200,1.01827,1.09007,5.56382
1.59600,1.01949,1.09007,5.56971
1.60600,1.02131,1.09007,5.57654
1.61600,1.02070,1.09007,5.59982
1.64700,1.02009,1.09007,5.59862
1.65700,1.01918,1.09007,5.61741
1.68000,1.02009,1.09007,5.62020
1.69000,1.02131,1.09007,5.62667
1.70000,1.02131,1.09007,5.63258
1.72200,1.02161,1.09007,5.64426
1.73200,1.01888,1.09007,5.64956
1.74300,1.01949,1.09007,5.67442
1.76700,1.01797,1.09007,5.68051
1.77700,1.02070,1.09007,5.68960
1.78700,1.02100,1.09007,5.71008
1.81000,1.02100,1.09007,5.70882
1.82000,1.01979,1.09007,5.71321
1.83000,1.02009,1.09007,5.72898
1.84900,1.01918,1.09007,5.73320
1.85900,1.01979,1.09007,5.74170
1.86900,1.01918,1.09007,5.76455
1.89200,1.01979,1.09007,5.76716
1.90200,1.02100,1.09007,5.77191
1.91300,1.01979,1.09007,5.79204
1.93600,1.02040,1.09007,5.79299
1.94600,1.02070,1.09007,5.79776
1.95700,1.02040,1.09007,5.81738
1.97900,1.02131,1.09007,5.81933
1.98900,1.02100,1.09007,5.82347
2.00000,1.02040,1.09007,5.97224
2.21800,1.02009,1.09007,5.99084
2.24300,1.02040,1.09007,5.99366
2.25300,1.02040,1.09007,6.00236
2.26300,1.02040,1.09007,6.02707
2.29200,1.02070,1.09007,6.02856
2.30300,1.02009,1.09007,6.03639
2.33200,1.02131,1.09007,6.05434
2.34300,1.02070,1.09007,6.05945
2.35300,1.01979,1.09007,6.07938
2.37400,1.02040,1.09007,6.08191
2.38400,1.01979,1.09007,6.08954
2.39400,1.02070,1.09007,6.11085
2.41700,1.02100,1.09007,6.11197
2.42700,1.01979,1.09007,6.11756
2.43700,1.02252,1.09007,6.13804
2.46300,1.02100,1.09007,6.13827
2.47300,1.02131,1.09007,6.14286
2.48300,1.01858,1.09007,6.16830
2.51000,1.02040,1.09007,6.17225
2.52000,1.02222,1.09007,6.19239
2.54300,1.02040,1.09007,6.19437
2.55300,1.02100,1.09007,6.20011
2.56300,1.02100,1.09007,6.21650
2.58400,1.02161,1.09007,6.21867
2.59400,1.02100,1.09007,6.22377
2.60400,1.02192,1.09007,6.24334
2.62700,1.02070,1.09007,6.24506
