Imperial Supersonic Wind Tunnel: Geometry
Constant width: 150 mm
Axial location measured relative to leading edge of nozzle component
x,h
-172,180
-172,180
-147,180
-122,180
-107,180
-87,180
-67,180
-57,180
-47,180
-41.799,179.916
-36.614,179.576
-31.431,178.826
-26.28,177.488
-23.728,176.542
-21.196,175.384
-18.692,173.994
-16.227,172.368
-13.803,170.494
-11.434,168.38
-9.119,166.024
-6.8819,163.366
-5.8126,161.902
-4.7808,160.324
-3.7969,158.624
-2.8742,156.8
-2.0217,154.842
-1.25,152.748
-0.57292,150.53
0,148.206
0,148.206
0.439,146.244
0.877,144.372
1.315,142.584
1.754,140.876
2.192,139.242
2.631,137.676
3.069,136.176
3.508,134.734
3.947,133.348
4.385,132.018
4.824,130.738
5.262,129.506
5.701,128.32
6.139,127.174
6.578,126.072
7.016,125.006
7.454,123.976
7.893,122.982
8.331,122.02
8.77,121.09
9.208,120.19
9.647,119.32
10.085,118.474
10.523,117.658
10.962,116.866
11.4,116.096
11.839,115.35
12.278,114.626
12.716,113.924
13.155,113.242
13.593,112.58
14.032,111.934
14.47,111.31
14.909,110.7
15.347,110.11
15.785,109.534
16.224,108.972
16.662,108.428
17.101,107.896
17.539,107.38
17.978,106.878
18.416,106.388
18.854,105.91
19.293,105.444
19.731,104.992
20.17,104.55
20.608,104.118
21.048,103.698
21.486,103.288
21.924,102.888
22.363,102.5
22.801,102.12
23.24,101.748
23.678,101.386
24.117,101.032
24.555,100.688
24.993,100.35
25.432,100.022
25.87,99.7
26.309,99.386
26.747,99.082
27.186,98.784
27.624,98.49
28.062,98.206
28.501,97.926
28.939,97.654
29.378,97.388
29.817,97.13
30.256,96.876
30.694,96.628
31.132,96.386
31.571,96.148
32.009,95.918
32.448,95.692
32.886,95.47
33.325,95.254
33.763,95.046
34.201,94.838
34.64,94.638
35.078,94.44
35.517,94.248
35.955,94.06
36.394,93.876
36.832,93.696
37.27,93.522
37.709,93.35
38.147,93.184
38.587,93.02
39.025,92.86
39.464,92.704
39.902,92.552
40.34,92.404
40.779,92.256
41.217,92.114
41.656,91.976
42.094,91.842
42.533,91.708
42.971,91.578
43.409,91.452
43.848,91.33
44.286,91.208
44.725,91.092
45.163,90.978
45.602,90.864
46.04,90.756
46.479,90.648
46.918,90.546
47.356,90.446
47.795,90.346
48.233,90.25
48.672,90.156
49.11,90.064
49.548,89.974
49.987,89.888
50.425,89.804
50.864,89.722
51.302,89.64
51.741,89.564
52.179,89.486
52.617,89.412
53.056,89.342
53.494,89.27
53.933,89.204
54.371,89.136
54.81,89.072
55.249,89.01
55.687,88.95
56.126,88.89
56.564,88.834
57.003,88.778
57.441,88.724
57.88,88.674
58.318,88.624
58.756,88.574
59.195,88.526
59.633,88.482
60.072,88.438
60.51,88.394
60.949,88.354
61.387,88.316
61.825,88.276
62.264,88.24
62.702,88.204
63.141,88.17
63.579,88.138
64.019,88.108
64.457,88.078
64.895,88.048
65.334,88.02
65.772,87.994
66.211,87.97
66.649,87.946
67.088,87.924
67.526,87.902
67.964,87.882
68.403,87.862
68.841,87.844
69.28,87.828
69.718,87.812
70.157,87.798
70.595,87.786
71.033,87.772
71.472,87.76
71.91,87.75
72.349,87.74
72.788,87.732
73.227,87.724
73.665,87.718
74.103,87.712
74.542,87.706
74.98,87.702
75.419,87.7
75.857,87.698
76.296,87.696
76.734,87.696
77.715,87.706
78.399,87.714
78.953,87.722
79.431,87.73
79.847,87.738
80.23,87.748
80.587,87.756
80.915,87.766
81.229,87.776
81.525,87.788
81.809,87.798
82.082,87.81
82.344,87.822
82.598,87.836
82.845,87.848
83.085,87.862
83.318,87.876
83.547,87.892
83.77,87.906
83.989,87.922
84.204,87.938
84.415,87.954
84.623,87.972
84.827,87.988
85.029,88.006
85.227,88.024
85.424,88.044
85.618,88.064
85.81,88.084
86,88.104
86.188,88.124
86.374,88.146
86.559,88.166
86.742,88.188
86.924,88.212
87.104,88.234
87.283,88.256
87.461,88.278
87.638,88.302
87.813,88.324
87.988,88.346
88.162,88.37
88.335,88.392
88.507,88.414
88.679,88.438
88.849,88.462
89.019,88.488
89.189,88.514
89.357,88.54
89.526,88.568
89.693,88.596
89.861,88.626
90.028,88.658
90.194,88.688
90.36,88.722
90.526,88.754
90.691,88.788
90.856,88.822
91.021,88.856
91.186,88.892
91.35,88.928
91.514,88.964
91.678,89
91.842,89.038
92.005,89.076
92.169,89.114
92.332,89.152
92.496,89.192
92.659,89.232
92.822,89.274
92.986,89.314
93.149,89.356
93.312,89.398
93.475,89.442
93.638,89.486
93.802,89.53
93.965,89.574
94.128,89.62
94.292,89.666
94.455,89.714
94.619,89.76
94.783,89.808
94.947,89.858
95.111,89.906
95.275,89.956
95.44,90.008
95.604,90.058
95.769,90.11
95.934,90.164
96.099,90.216
96.264,90.27
96.43,90.324
96.596,90.38
96.762,90.436
96.928,90.492
97.095,90.55
97.261,90.608
97.429,90.666
97.596,90.726
97.764,90.786
97.932,90.846
98.1,90.908
98.269,90.97
98.437,91.034
98.607,91.098
98.776,91.162
98.946,91.228
99.117,91.294
99.287,91.36
99.458,91.428
99.63,91.496
99.802,91.566
99.974,91.636
100.15,91.706
100.32,91.778
100.49,91.85
100.67,91.924
100.84,91.998
101.02,92.072
101.19,92.148
101.37,92.224
101.54,92.302
101.72,92.38
101.9,92.458
102.07,92.538
102.25,92.62
102.43,92.702
102.61,92.784
102.79,92.868
102.97,92.952
103.15,93.038
104.24,93.558
106.05,94.416
107.85,95.274
109.66,96.13
111.46,96.986
113.27,97.84
115.07,98.692
120.57,101.27
124.75,103.22
128.25,104.836
131.25,106.212
133.97,107.448
136.47,108.576
138.77,109.604
140.95,110.572
143.01,111.476
144.97,112.334
146.86,113.15
148.68,113.93
150.44,114.678
152.15,115.4
153.82,116.096
155.45,116.77
157.04,117.424
158.61,118.06
160.14,118.68
161.65,119.284
163.14,119.872
164.61,120.45
166.06,121.014
167.5,121.566
168.91,122.108
170.32,122.638
171.72,123.16
173.1,123.672
174.47,124.178
175.83,124.672
177.19,125.16
178.54,125.642
179.88,126.114
181.21,126.58
182.54,127.04
183.87,127.492
185.19,127.94
186.5,128.38
187.82,128.814
189.13,129.244
190.43,129.668
191.74,130.086
193.04,130.5
194.34,130.908
195.64,131.31
196.94,131.708
198.24,132.102
199.54,132.49
200.84,132.874
202.13,133.252
203.43,133.628
204.73,133.998
206.03,134.364
207.34,134.726
208.64,135.084
209.94,135.438
211.25,135.786
212.55,136.132
213.86,136.472
215.18,136.808
216.49,137.142
217.8,137.47
219.12,137.794
220.44,138.116
221.77,138.432
223.1,138.746
224.43,139.054
225.76,139.36
227.1,139.66
228.44,139.958
229.78,140.25
231.13,140.54
232.48,140.824
233.84,141.106
235.2,141.384
236.56,141.658
237.93,141.928
239.31,142.194
240.68,142.456
242.06,142.714
243.45,142.968
244.84,143.218
246.24,143.464
247.64,143.706
