Code:	WP 300.20

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 12.02.2019	Time: 09:45:10

Name:	Aluminium
User Comment:	

Data Start
t Time Index	l Distance	F Force	EPS Strain	R	TEST Test	
h:min:s	mm	KN	%	N/mm^2		
09:21:12.7	-0.0244	0.0180	-0.0814	0.9592	1.0000
09:21:13.7	-0.0244	0.0240	-0.0814	1.2789	1.0000
09:21:14.7	-0.0244	0.1019	-0.0814	5.4355	1.0000
09:21:15.7	0.0000	0.1978	0.0000	10.5513	1.0000
09:21:16.7	0.0000	0.2818	0.0000	15.0276	1.0000
09:21:17.7	0.0000	0.3837	0.0000	20.4631	1.0000
09:21:18.7	0.0489	0.4856	0.1628	25.8986	1.0000
09:21:19.7	0.0489	0.5695	0.1628	30.3749	1.0000
09:21:20.7	0.0977	0.7014	0.3257	37.4091	1.0000
09:21:21.7	0.1099	0.7973	0.3664	42.5249	1.0000
09:21:22.7	0.1221	0.8513	0.4071	45.4025	1.0000
09:21:23.7	0.1221	0.9292	0.4071	49.5591	1.0000
09:21:24.7	0.1343	1.0311	0.4478	54.9946	1.0000
09:21:25.7	0.1466	1.1091	0.4885	59.1512	1.0000
09:21:27.7	0.1466	1.3189	0.4885	70.3420	1.0000
09:21:26.7	0.1710	1.1870	0.5699	63.3078	1.0000
09:21:28.7	0.1832	1.4208	0.6106	75.7775	1.0000
09:21:29.7	0.1954	1.5167	0.6514	80.8933	1.0000
09:21:30.7	0.2198	1.6127	0.7328	86.0090	1.0000
09:21:33.7	0.2320	1.7566	0.7735	93.6827	1.0000
09:21:31.7	0.2443	1.6846	0.8142	89.8459	1.0000
09:21:32.7	0.2565	1.7266	0.8549	92.0840	1.0000
09:21:34.7	0.2687	1.8884	0.8956	100.7169	1.0000
09:21:35.7	0.3175	1.9604	1.0585	104.5537	1.0000
09:21:36.7	0.3175	2.0203	1.0585	107.7511	1.0000
09:21:37.7	0.3420	2.0683	1.1399	110.3090	1.0000
09:21:38.7	0.3664	2.1163	1.2213	112.8669	1.0000
09:21:41.7	0.3786	2.1702	1.2620	115.7445	1.0000
09:21:39.7	0.3908	2.1402	1.3027	114.1458	1.0000
09:21:40.7	0.4030	2.1762	1.3434	116.0642	1.0000
09:21:43.7	0.4030	2.2062	1.3434	117.6629	1.0000
09:21:42.7	0.4152	2.2002	1.3841	117.3432	1.0000
09:21:44.7	0.4152	2.2302	1.3841	118.9419	1.0000
09:21:45.7	0.4397	2.2242	1.4656	118.6221	1.0000
09:21:46.7	0.4519	2.2242	1.5063	118.6221	1.0000
09:21:47.7	0.4763	2.2481	1.5877	119.9011	1.0000
09:21:48.7	0.4885	2.2841	1.6284	121.8195	1.0000
09:21:49.7	0.5129	2.2781	1.7098	121.4998	1.0000
09:21:50.7	0.5496	2.2841	1.8319	121.8195	1.0000
09:21:51.7	0.5862	2.2481	1.9541	119.9011	1.0000
09:21:52.7	0.5984	2.2721	1.9948	121.1800	1.0000
09:21:53.7	0.6106	2.2721	2.0355	121.1800	1.0000
09:21:54.7	0.6351	2.3201	2.1169	123.7379	1.0000
09:21:55.7	0.6595	2.3081	2.1983	123.0984	1.0000
09:21:56.7	0.6839	2.3081	2.2798	123.0984	1.0000
09:21:58.7	0.6839	2.3441	2.2798	125.0169	1.0000
09:21:59.7	0.6839	2.3441	2.2798	125.0169	1.0000
09:21:57.7	0.6961	2.3021	2.3205	122.7787	1.0000
09:22:00.7	0.7084	2.3561	2.3612	125.6563	1.0000
09:22:01.7	0.7206	2.3621	2.4019	125.9761	1.0000
09:22:02.7	0.7450	2.3740	2.4833	126.6155	1.0000
09:22:03.7	0.7694	2.3680	2.5647	126.2958	1.0000
09:22:04.7	0.7816	2.3800	2.6054	126.9353	1.0000
09:22:05.7	0.8061	2.3680	2.6869	126.2958	1.0000
09:22:06.7	0.8305	2.4040	2.7683	128.2142	1.0000
09:22:07.7	0.8549	2.4100	2.8497	128.5340	1.0000
09:22:08.7	0.8549	2.3860	2.8497	127.2550	1.0000
09:22:09.7	0.8793	2.4040	2.9311	128.2142	1.0000
09:22:11.7	0.8915	2.4160	2.9718	128.8537	1.0000
09:22:10.7	0.9038	2.4040	3.0125	128.2142	1.0000
09:22:12.7	0.9160	2.4160	3.0532	128.8537	1.0000
09:22:13.7	0.9282	2.4520	3.0940	130.7721	1.0000
09:22:14.7	1.0015	2.4760	3.3382	132.0511	1.0000
09:22:15.7	1.0259	2.4460	3.4196	130.4524	1.0000
09:22:16.7	1.0503	2.4700	3.5011	131.7313	1.0000
09:22:19.7	1.0625	2.4460	3.5418	130.4524	1.0000
09:22:21.7	1.0625	2.4460	3.5418	130.4524	1.0000
09:22:17.7	1.0747	2.4580	3.5825	131.0918	1.0000
09:22:18.7	1.0747	2.4879	3.5825	132.6905	1.0000
09:22:20.7	1.0747	2.4580	3.5825	131.0918	1.0000
09:22:22.7	1.0992	2.4999	3.6639	133.3300	1.0000
09:22:23.7	1.0992	2.4939	3.6639	133.0103	1.0000
09:22:24.3	1.0992	2.4939	3.6639	133.0103	1.0000
09:22:25.2	1.1236	2.4820	3.7453	132.3708	1.0000
09:22:26.2	1.1358	2.4700	3.7860	131.7313	1.0000
09:22:27.2	1.1602	2.4879	3.8674	132.6905	1.0000
09:22:28.2	1.1724	2.4879	3.9082	132.6905	1.0000
09:22:29.2	1.1847	2.4939	3.9489	133.0103	1.0000
09:22:30.2	1.2091	2.4760	4.0303	132.0511	1.0000
09:22:32.2	1.2457	2.5539	4.1524	136.2076	1.0000
09:22:31.2	1.2579	2.5299	4.1931	134.9287	1.0000
09:22:34.2	1.2579	2.4939	4.1931	133.0103	1.0000
09:22:33.2	1.2702	2.4999	4.2338	133.3300	1.0000
09:22:35.2	1.2702	2.5239	4.2338	134.6089	1.0000
09:22:36.2	1.2946	2.5359	4.3153	135.2484	1.0000
09:22:37.2	1.3068	2.5479	4.3560	135.8879	1.0000
09:22:40.2	1.3312	2.5359	4.4374	135.2484	1.0000
09:22:38.2	1.3434	2.5599	4.4781	136.5274	1.0000
09:22:39.2	1.3801	2.5599	4.6002	136.5274	1.0000
09:22:41.2	1.3801	2.5479	4.6002	135.8879	1.0000
09:22:42.2	1.4045	2.5599	4.6816	136.5274	1.0000
09:22:43.2	1.4167	2.5719	4.7224	137.1668	1.0000
09:22:44.2	1.4289	2.5659	4.7631	136.8471	1.0000
09:22:45.2	1.4533	2.5659	4.8445	136.8471	1.0000
09:22:46.2	1.4533	2.5599	4.8445	136.5274	1.0000
09:22:47.2	1.5022	2.5719	5.0073	137.1668	1.0000
09:22:48.2	1.5266	2.5779	5.0887	137.4866	1.0000
09:22:49.2	1.5388	2.6078	5.1295	139.0852	1.0000
09:22:50.2	1.5755	2.5719	5.2516	137.1668	1.0000
09:22:51.2	1.5877	2.5839	5.2923	137.8063	1.0000
09:22:56.2	1.6121	2.6078	5.3737	139.0852	1.0000
09:22:52.2	1.6243	2.6138	5.4144	139.4050	1.0000
09:22:53.2	1.6365	2.6138	5.4551	139.4050	1.0000
09:22:54.2	1.6365	2.5959	5.4551	138.4458	1.0000
09:22:55.2	1.6488	2.6258	5.4958	140.0445	1.0000
09:22:57.2	1.6610	2.6198	5.5366	139.7247	1.0000
09:22:58.2	1.6610	2.6138	5.5366	139.4050	1.0000
09:22:59.2	1.6976	2.6198	5.6587	139.7247	1.0000
09:23:00.2	1.6976	2.6318	5.6587	140.3642	1.0000
09:23:01.2	1.7220	2.6438	5.7401	141.0037	1.0000
09:23:02.2	1.7587	2.6438	5.8622	141.0037	1.0000
09:23:03.2	1.7831	2.6258	5.9437	140.0445	1.0000
09:23:04.2	1.8075	2.6618	6.0251	141.9629	1.0000
09:23:05.2	1.8319	2.6558	6.1065	141.6431	1.0000
09:23:06.2	1.8686	2.6558	6.2286	141.6431	1.0000
09:23:07.2	1.8808	2.6618	6.2693	141.9629	1.0000
09:23:08.2	1.9052	2.6498	6.3508	141.3234	1.0000
09:23:09.2	1.9174	2.6558	6.3915	141.6431	1.0000
09:23:10.2	1.9541	2.6618	6.5136	141.9629	1.0000
09:23:11.2	1.9663	2.6738	6.5543	142.6023	1.0000
09:23:12.2	1.9785	2.6978	6.5950	143.8813	1.0000
09:23:14.2	2.0151	2.7038	6.7171	144.2010	1.0000
09:23:13.2	2.0274	2.6858	6.7579	143.2418	1.0000
09:23:16.2	2.0640	2.7038	6.8800	144.2010	1.0000
09:23:15.2	2.0762	2.6798	6.9207	142.9221	1.0000
09:23:17.2	2.1373	2.7277	7.1242	145.4800	1.0000
09:23:18.2	2.1373	2.7577	7.1242	147.0787	1.0000
09:23:19.2	2.1617	2.7457	7.2057	146.4392	1.0000
09:23:20.2	2.1617	2.7158	7.2057	144.8405	1.0000
09:23:21.2	2.2106	2.7457	7.3685	146.4392	1.0000
09:23:22.2	2.2350	2.7038	7.4499	144.2010	1.0000
09:23:23.2	2.2350	2.7337	7.4499	145.7997	1.0000
09:23:24.2	2.2838	2.7637	7.6128	147.3984	1.0000
09:23:25.2	2.2838	2.7218	7.6128	145.1602	1.0000
09:23:26.2	2.2960	2.7637	7.6535	147.3984	1.0000
09:23:27.2	2.3937	2.7577	7.9792	147.0787	1.0000
09:23:28.2	2.4060	2.7577	8.0199	147.0787	1.0000
09:23:30.2	2.4182	2.7757	8.0606	148.0379	1.0000
09:23:29.2	2.4304	2.7697	8.1013	147.7181	1.0000
09:23:32.2	2.4792	2.7937	8.2641	148.9971	1.0000
09:23:31.2	2.4915	2.8237	8.3048	150.5957	1.0000
09:23:34.2	2.4915	2.7937	8.3048	148.9971	1.0000
09:23:33.2	2.5281	2.8057	8.4270	149.6365	1.0000
09:23:35.2	2.5769	2.7997	8.5898	149.3168	1.0000
09:23:36.2	2.5769	2.7937	8.5898	148.9971	1.0000
09:23:37.2	2.5892	2.7577	8.6305	147.0787	1.0000
09:23:38.2	2.6136	2.7877	8.7119	148.6773	1.0000
09:23:39.2	2.6746	2.8297	8.9155	150.9155	1.0000
09:23:40.2	2.6746	2.7997	8.9155	149.3168	1.0000
09:24:22.2	2.6991	0.7314	8.9969	39.0078	1.0000
09:24:25.2	2.6991	0.5695	8.9969	30.3749	1.0000
09:24:26.2	2.6991	0.5935	8.9969	31.6539	1.0000
09:23:41.2	2.7113	2.8357	9.0376	151.2352	1.0000
09:24:18.2	2.7113	0.9352	9.0376	49.8788	1.0000
09:24:19.2	2.7113	0.8933	9.0376	47.6407	1.0000
09:24:23.2	2.7113	0.6774	9.0376	36.1302	1.0000
09:24:24.2	2.7113	0.6115	9.0376	32.6131	1.0000
09:24:27.2	2.7113	0.7494	9.0376	39.9670	1.0000
