IMPERIAL COLLEGE SUPERSONIC WIND TUNNEL -  NETSCANNER PRESSURE RESULTS FILE - UNIT 1 
Run time: 11:15:27 26-11-2020
Barometric pressure: 1.0199 BarA
Nozzle: Mach 2.0
Camera delay (ms): 0.0000
Missed Packets:  0
Pressure quoted in units of BarA
Time[s] ,Ch1(33.0mm),Ch2(53.0mm),Ch3(73.0mm),Ch4(93.0mm),Ch5(113.0mm),Ch6(133.0mm),Ch7(153.0mm),Ch8(173.0mm),Ch9(193.0mm),Ch10(0.0mm),Ch11(213.0mm),Ch12(233.0mm),Ch13(253.0mm),Ch14(273.0mm),Ch15(0.0mm),Ch16(0.0mm)
0.01000,1.01981,1.01991,1.01983,1.01995,1.01989,1.01988,1.01988,1.02000,1.01989,1.01449,1.01990,1.01978,1.01997,1.01980,1.02001,1.01979
0.02000,1.01997,1.01996,1.01988,1.01979,1.01979,1.01998,1.01977,1.01985,1.01989,1.01465,1.01984,1.01988,1.01976,1.01995,1.01974,1.02009
0.03000,1.01997,1.01996,1.01994,1.02005,1.01974,1.02003,1.01971,1.01980,1.01979,1.01460,1.01984,1.01983,1.01981,1.02001,1.01990,1.01949
0.04000,1.01981,1.01996,1.01988,1.01989,1.01984,1.01998,1.01977,1.01990,1.01984,1.01486,1.01990,1.01983,1.01981,1.02001,1.01969,1.01918
0.05000,1.01976,1.01996,1.01988,1.01995,1.01984,1.01993,1.01994,1.02006,1.01979,1.01444,1.01979,1.01978,1.01981,1.01995,1.01980,1.01979
0.06000,1.01981,1.01980,1.01988,1.01984,1.02005,1.01988,1.01988,1.01995,1.01979,1.01476,1.01984,1.01983,1.01997,1.02001,1.01980,1.02040
0.07000,1.02002,1.02002,1.01978,1.01984,1.01994,1.02003,1.01971,1.02006,1.01979,1.01465,1.01979,1.01983,1.01986,1.01980,1.01985,1.01949
0.08000,1.01997,1.01991,1.01983,1.01984,1.01984,1.02003,1.01988,1.01974,1.01974,1.01465,1.01984,1.01988,1.02002,1.01980,1.01990,1.02009
0.09000,1.01986,1.01986,1.01988,1.02000,1.01994,1.01998,1.01977,1.01995,1.01984,1.01449,1.01974,1.01988,1.02002,1.01975,1.01985,1.01797
0.10000,1.01986,1.01980,1.01994,1.01995,1.01989,1.01988,1.01988,1.01985,1.01989,1.01455,1.01979,1.01983,1.01991,1.01980,1.01990,1.01979
0.11000,1.01986,1.01980,1.01994,1.01989,1.01989,1.01983,1.01988,1.01990,1.01974,1.01476,1.01984,1.01983,1.01986,1.01990,1.01990,1.02009
0.12000,1.01986,1.01975,1.01994,1.01979,1.01994,1.01993,1.01988,1.01995,1.01984,1.01465,1.01979,1.01988,1.01997,1.01975,1.01985,1.01888
0.13000,1.01991,1.01980,1.01994,1.01995,1.01989,1.01978,1.01994,1.01995,1.01979,1.01486,1.01984,1.01983,1.01981,1.01995,1.01990,1.01918
0.14000,1.01997,1.01970,1.01972,1.02000,1.01984,1.01978,1.01977,1.02006,1.01984,1.01492,1.01984,1.01988,1.01981,1.01990,1.01974,1.01949
0.15000,1.01986,1.01991,1.01994,1.01989,1.01989,1.01998,1.01977,1.01995,1.01979,1.01518,1.01979,1.01983,1.01986,1.01980,1.01990,1.01918
0.16000,1.01986,1.01986,1.01983,1.01995,1.01984,1.02003,1.01994,1.01990,1.01984,1.01523,1.01979,1.01988,1.01981,1.01980,1.01974,1.01888
0.17000,1.01981,1.01980,1.01994,1.02000,1.01974,1.01993,1.01977,1.02000,1.01984,1.01502,1.01979,1.01988,1.01997,1.01995,1.01974,1.01949
0.18000,1.02002,1.02002,1.01983,1.01984,1.01994,1.01983,1.01977,1.01980,1.01979,1.01513,1.01984,1.01988,1.01986,1.01990,1.01980,1.01979
0.19000,1.01997,1.01986,1.01999,1.01984,1.02005,1.01988,1.01988,1.01995,1.01984,1.01518,1.01990,1.01983,1.01991,1.01980,1.01985,1.01918
0.20000,1.01991,1.01991,1.01988,1.01989,1.01994,1.01983,1.01988,1.01995,1.01989,1.01502,1.01984,1.01978,1.01981,1.02006,1.01969,1.01979
0.21000,1.01986,1.01975,1.01994,1.01979,1.01979,1.01993,1.01988,1.01990,1.01979,1.01523,1.01990,1.01978,1.01991,1.01985,1.01974,1.01858
0.22000,1.01997,1.01991,1.01988,1.01973,1.01989,1.01993,1.01977,1.01995,1.01974,1.01513,1.01984,1.01983,1.01991,1.01995,1.01974,1.02009
0.23000,1.01997,1.02002,1.01978,1.01984,1.01994,1.01978,1.01977,1.02000,1.01984,1.01497,1.01984,1.01973,1.01986,1.01995,1.01980,1.01979
0.24000,1.01997,1.01986,1.01978,1.01989,1.01974,1.02003,1.01988,1.01980,1.01974,1.01497,1.01984,1.01994,1.01970,1.01985,1.01985,1.01979
