IMPERIAL COLLEGE SUPERSONIC WIND TUNNEL -  NETSCANNER PRESSURE RESULTS FILE - UNIT 2 
Run time: 11:15:27 26-11-2020
Barometric pressure: 1.0199 BarA
Nozzle: Mach 2.0
Camera delay (ms): 0.0000
Missed Packets:  0
Pressure quoted in units of BarA
Time[s], PIV,Ch17(363.5mm),Ch18(383.5mm),Ch19(403.5mm),Ch20(423.5mm),Ch21(443.5mm),Ch22(463.5mm),Ch23(483.5mm),Ch24(503.5mm),Ch25(523.5mm),Ch26(543.5mm),Ch27(563.5mm),Ch28(583.5mm),Ch29(0.0mm),Ch30(0.0mm),Ch31(0.0mm),Ch32(0.0mm),Kulite
0.01000,0.00000,1.01984,1.01973,1.02004,1.01992,1.01980,1.01991,1.01993,1.01995,1.01985,1.01999,1.01985,1.01998,1.01996,1.01991,1.02001,1.01989,0.00000
0.02000,0.00000,1.02000,1.01978,1.01988,1.02002,1.01985,1.01997,1.01993,1.01995,1.01990,1.01999,1.01995,1.01998,1.01996,1.01996,1.02006,1.01989,0.00000
0.03000,0.00000,1.02000,1.01994,1.01983,1.01992,1.01985,1.01981,1.01993,1.01984,1.01990,1.01993,1.01985,1.02003,1.02001,1.01996,1.02011,1.01984,0.00000
0.04000,0.00000,1.01984,1.01983,1.01978,1.01997,1.01980,1.01997,1.01988,1.01990,1.01995,1.02004,1.01995,1.01988,1.01996,1.01996,1.01996,1.01995,0.00000
0.05000,0.00000,1.01984,1.01973,1.01999,1.02002,1.01980,1.01986,1.01988,1.01990,1.01995,1.01988,1.01990,1.01988,1.01986,1.02001,1.01996,1.02000,0.00000
0.06000,0.00000,1.02000,1.01988,1.01994,1.01997,1.01974,1.01997,1.01988,1.02000,1.01985,1.01993,1.01990,1.01993,1.01986,1.01996,1.01996,1.01989,0.00000
0.07000,0.00000,1.01984,1.01983,1.01994,1.01992,1.01985,1.01991,1.01988,1.01990,1.01995,1.01983,1.01985,1.01983,1.01991,1.01986,1.01986,1.02000,0.00000
0.08000,0.00000,1.01984,1.01978,1.01988,1.01977,1.01974,1.01991,1.01988,1.01984,1.01990,1.02004,1.01995,1.01988,1.02001,1.02001,1.02001,1.02000,0.00000
0.09000,0.00000,1.02005,1.01994,1.01988,1.01997,1.01985,1.01991,1.01993,1.02000,1.02001,1.01993,1.01995,1.01993,1.01996,1.02001,1.01991,1.02005,0.00000
0.10000,0.00000,1.01984,1.01983,1.01994,1.02002,1.01985,1.01997,1.01988,1.01990,1.01995,1.01993,1.01990,1.01983,1.02006,1.01996,1.01996,1.01989,0.00000
