           x          rho            p     velocity         mach      entropy
 -2.00000000   8.00000000  10.00000000   0.00000000   0.00000000  -0.60863307 
 -0.66143783   8.00000000  10.00000000   0.00000000   0.00000000  -0.60863307 
 -0.59922241   7.39228276   8.95290583   0.10369236   0.07963244  -0.60863307 
 -0.53700700   6.82207176   8.00123111   0.20738471   0.16184245  -0.60863307 
 -0.47479159   6.28760352   7.13761677   0.31107707   0.24675726  -0.60863307 
 -0.41257618   5.78717072   6.35516498   0.41476942   0.33451257  -0.60863307 
 -0.35036076   5.31912127   5.64741713   0.51846178   0.42525334  -0.60863307 
 -0.28814535   4.88185746   5.00833247   0.62215413   0.51913456  -0.60863307 
 -0.22592994   4.47383501   4.43226754   0.72584649   0.61632213  -0.60863307 
 -0.16371452   4.09356216   3.91395622   0.82953884   0.71699383  -0.60863307 
 -0.10149911   3.73959877   3.44849047   0.93323120   0.82134046  -0.60863307 
 -0.03928370   3.41055543   3.03130178   1.03692355   0.92956698  -0.60863307 
  0.51846178   3.41055543   3.03130178   1.03692355   0.92956698  -0.60863307 
  0.51846178   2.12458969   3.03130178   1.03692355   0.73367829   0.05398198 
  0.97948483   2.12458969   3.03130178   1.03692355   0.73367829   0.05398198 
  0.97948483   1.00000000   1.00000000   0.00000000   0.00000000   0.00000000 
  2.00000000   1.00000000   1.00000000   0.00000000   0.00000000   0.00000000 
