AoA	CLairf	CDairf
-180.00	0.00000	0.01200
-176.04	0.47800	0.01250
-173.40	0.76500	0.02080
-168.70	1.15000	0.03560
-167.40	1.28000	0.03970
-167.30	1.02000	0.04000
-166.60	0.79300	0.04220
-163.80	0.71200	0.12750
-161.10	0.69800	0.21540
-155.70	0.79500	0.40570
-151.00	0.95900	0.58040
-144.90	1.10000	0.81630
-138.10	1.15000	1.07970
-126.40	1.07000	1.48630
-116.80	0.89600	1.77330
-100.30	0.42100	2.02020
-86.60	-0.04030	2.04700
-72.00	-0.48800	1.92000
-60.00	-0.80000	1.67330
-51.00	-0.96200	1.42500
-43.00	-1.07000	1.17860
-40.00	-1.08000	1.08000
-32.00	-1.00000	0.77860
-27.00	-0.82200	0.55640
-24.00	-0.69900	0.45100
-21.00	-0.68500	0.37120
-17.00	-0.71200	0.29600
-13.00	-0.73800	0.22400
-10.00	-0.75100	0.16650
-9.00	-0.77900	0.14500
-7.00	-0.66900	0.10200
-5.00	-0.45100	0.06710
-3.00	-0.24600	0.04030
0.00	0.00000	0.01370
2.66	0.24580	0.03570
4.64	0.45070	0.06230
6.63	0.66910	0.09400
8.64	0.77850	0.13730
10.01	0.75150	0.16680
13.43	0.73830	0.23170
16.84	0.71160	0.29320
20.94	0.68490	0.37010
23.67	0.69900	0.44080
27.04	0.82220	0.55820
32.44	1.00030	0.79830
39.92	1.08330	1.07700
42.65	1.07000	1.16710
50.86	0.96220	1.42110
59.77	0.79990	1.66730
72.13	0.48820	1.92270
86.58	0.04030	2.04680
100.35	-0.42120	2.01990
116.85	-0.89600	1.77190
126.44	-1.07180	1.48490
138.05	-1.15190	1.08140
144.86	-1.09630	0.81800
150.95	-0.95900	0.58220
155.68	-0.79460	0.40640
161.11	-0.69840	0.21520
163.84	-0.71160	0.12620
166.59	-0.79300	0.04220
167.34	-1.02470	0.03990
167.41	-1.28380	0.03960
168.74	-1.14720	0.03550
173.40	-0.76470	0.02080
176.04	-0.47790	0.01240
178.02	-0.24580	0.00620
180.00	0.00000	0.01200
