 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 20   # Spanwise =100     First strip =  1
     Surface area =    0.050178       Ave. chord =    0.131700
     CLsurf  =   0.15714     Clsurf  =  -0.06834
     CYsurf  =   0.00034     Cmsurf  =  -0.13141
     CDsurf  =   0.00564     Cnsurf  =  -0.00010
     CDisurf =   0.00277     CDvsurf =   0.00288

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.31429     CDsurf  =   0.01129
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1   0.0000   0.1756   0.0000   0.0509   0.0271   0.2971   0.2772   0.3810   0.0062  -0.0575  -0.1237    0.457
     2   0.0002   0.1756   0.0000   0.0509   0.0275   0.3095   0.2888   0.0518   0.0062  -0.0575  -0.1237    0.449
     3   0.0006   0.1755   0.0001   0.0509   0.0280   0.3106   0.2898   0.0255   0.0062  -0.0575  -0.1237    0.448
     4   0.0012   0.1753   0.0001   0.0509   0.0285   0.3111   0.2902   0.0203   0.0062  -0.0574  -0.1238    0.448
     5   0.0019   0.1752   0.0001   0.0509   0.0290   0.3115   0.2907   0.0173   0.0062  -0.0574  -0.1238    0.447
     6   0.0028   0.1749   0.0002   0.0510   0.0294   0.3121   0.2912   0.0138   0.0062  -0.0573  -0.1238    0.447
     7   0.0040   0.1747   0.0002   0.0510   0.0298   0.3125   0.2916   0.0144   0.0062  -0.0572  -0.1237    0.446
     8   0.0053   0.1744   0.0002   0.0510   0.0301   0.3131   0.2922   0.0141   0.0062  -0.0570  -0.1237    0.445
     9   0.0068   0.1740   0.0003   0.0510   0.0304   0.3138   0.2928   0.0139   0.0062  -0.0568  -0.1237    0.444
    10   0.0084   0.1737   0.0003   0.0510   0.0307   0.3144   0.2933   0.0182   0.0062  -0.0566  -0.1236    0.443
    11   0.0103   0.1732   0.0003   0.0510   0.0310   0.3153   0.2942   0.0164   0.0061  -0.0563  -0.1236    0.441
    12   0.0123   0.1728   0.0004   0.0510   0.0313   0.3162   0.2950   0.0154   0.0061  -0.0561  -0.1235    0.440
    13   0.0145   0.1723   0.0004   0.0510   0.0315   0.3171   0.2959   0.0164   0.0061  -0.0558  -0.1235    0.439
    14   0.0169   0.1717   0.0004   0.0510   0.0318   0.3182   0.2969   0.0153   0.0061  -0.0555  -0.1235    0.437
    15   0.0194   0.1711   0.0005   0.0510   0.0320   0.3194   0.2980   0.0145   0.0061  -0.0553  -0.1235    0.436
    16   0.0221   0.1705   0.0005   0.0510   0.0321   0.3206   0.2991   0.0139   0.0061  -0.0550  -0.1235    0.434
    17   0.0250   0.1698   0.0005   0.0510   0.0323   0.3217   0.3002   0.0154   0.0061  -0.0548  -0.1235    0.432
    18   0.0281   0.1691   0.0005   0.0510   0.0325   0.3230   0.3014   0.0156   0.0061  -0.0545  -0.1236    0.431
    19   0.0313   0.1684   0.0006   0.0510   0.0326   0.3244   0.3027   0.0133   0.0061  -0.0543  -0.1236    0.429
    20   0.0346   0.1676   0.0006   0.0510   0.0327   0.3259   0.3041   0.0107   0.0061  -0.0541  -0.1237    0.428
    21   0.0382   0.1668   0.0006   0.0509   0.0328   0.3275   0.3055   0.0062   0.0061  -0.0538  -0.1238    0.426
    22   0.0418   0.1660   0.0006   0.0509   0.0329   0.3289   0.3069   0.0068   0.0061  -0.0536  -0.1240    0.425
    23   0.0456   0.1651   0.0006   0.0509   0.0329   0.3304   0.3083   0.0058   0.0061  -0.0534  -0.1241    0.423
    24   0.0496   0.1642   0.0007   0.0508   0.0330   0.3317   0.3094   0.0126   0.0061  -0.0533  -0.1243    0.422
    25   0.0537   0.1632   0.0007   0.0507   0.0330   0.3333   0.3110   0.0089   0.0061  -0.0531  -0.1244    0.421
    26   0.0579   0.1623   0.0007   0.0507   0.0330   0.3348   0.3124   0.0105   0.0061  -0.0529  -0.1246    0.419
    27   0.0623   0.1612   0.0007   0.0506   0.0330   0.3363   0.3137   0.0134   0.0060  -0.0527  -0.1248    0.418
    28   0.0668   0.1602   0.0007   0.0505   0.0330   0.3380   0.3154   0.0091   0.0060  -0.0526  -0.1250    0.417
    29   0.0714   0.1591   0.0007   0.0504   0.0330   0.3395   0.3167   0.0115   0.0060  -0.0525  -0.1252    0.416
    30   0.0761   0.1581   0.0008   0.0503   0.0330   0.3410   0.3182   0.0120   0.0060  -0.0523  -0.1254    0.414
    31   0.0810   0.1569   0.0008   0.0502   0.0329   0.3427   0.3198   0.0081   0.0060  -0.0522  -0.1257    0.413
    32   0.0859   0.1558   0.0008   0.0500   0.0329   0.3443   0.3212   0.0089   0.0060  -0.0521  -0.1259    0.412
    33   0.0910   0.1546   0.0008   0.0499   0.0328   0.3457   0.3226   0.0114   0.0060  -0.0520  -0.1262    0.411
    34   0.0961   0.1535   0.0008   0.0497   0.0328   0.3473   0.3240   0.0100   0.0060  -0.0519  -0.1264    0.410
    35   0.1014   0.1522   0.0008   0.0495   0.0327   0.3487   0.3254   0.0108   0.0060  -0.0518  -0.1267    0.409
    36   0.1067   0.1510   0.0008   0.0493   0.0326   0.3502   0.3268   0.0102   0.0059  -0.0517  -0.1269    0.408
    37   0.1121   0.1498   0.0008   0.0491   0.0326   0.3517   0.3281   0.0109   0.0059  -0.0516  -0.1271    0.407
    38   0.1176   0.1485   0.0008   0.0489   0.0325   0.3531   0.3294   0.0105   0.0059  -0.0515  -0.1274    0.406
    39   0.1232   0.1472   0.0008   0.0487   0.0324   0.3546   0.3308   0.0073   0.0059  -0.0515  -0.1276    0.406
    40   0.1288   0.1459   0.0008   0.0484   0.0324   0.3556   0.3318   0.0136   0.0059  -0.0514  -0.1278    0.405
    41   0.1345   0.1446   0.0008   0.0482   0.0323   0.3570   0.3331   0.0108   0.0059  -0.0513  -0.1280    0.404
    42   0.1402   0.1433   0.0008   0.0479   0.0322   0.3582   0.3342   0.0125   0.0059  -0.0512  -0.1282    0.403
    43   0.1460   0.1419   0.0008   0.0476   0.0322   0.3593   0.3352   0.0132   0.0058  -0.0512  -0.1284    0.403
