  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.300     Re =     3.800 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.000  -1.4129   0.02192   0.01845  -0.0897   1.0000   0.0159
 -14.000  -1.3877   0.01830   0.01457  -0.0762   0.9988   0.0169
 -13.000  -1.2682   0.01538   0.01140  -0.0753   0.9941   0.0186
 -12.000  -1.1509   0.01327   0.00912  -0.0730   0.9824   0.0209
 -11.000  -1.0452   0.01175   0.00745  -0.0678   0.9591   0.0239
 -10.000  -0.9328   0.01053   0.00607  -0.0640   0.9309   0.0277
  -9.000  -0.8163   0.00952   0.00492  -0.0613   0.8986   0.0326
  -7.000  -0.5779   0.00801   0.00321  -0.0577   0.8222   0.0491
  -6.000  -0.4580   0.00745   0.00257  -0.0565   0.7749   0.0637
  -5.000  -0.3379   0.00700   0.00206  -0.0557   0.7224   0.0847
  -4.000  -0.2177   0.00665   0.00167  -0.0550   0.6662   0.1149
  -3.000  -0.0976   0.00639   0.00139  -0.0546   0.6089   0.1570
  -2.000   0.0226   0.00620   0.00121  -0.0544   0.5547   0.2089
  -1.000   0.1430   0.00607   0.00113  -0.0543   0.5064   0.2715
   1.000   0.3836   0.00588   0.00120  -0.0542   0.4259   0.4465
   2.000   0.5025   0.00587   0.00136  -0.0539   0.3812   0.5683
   3.000   0.6201   0.00607   0.00166  -0.0533   0.3279   0.6754
   4.000   0.7352   0.00646   0.00210  -0.0520   0.2671   0.7870
   5.000   0.8464   0.00704   0.00271  -0.0499   0.2046   0.8929
   6.000   0.9500   0.00791   0.00349  -0.0459   0.1461   0.9683
   7.000   1.0749   0.00911   0.00447  -0.0466   0.0985   0.9974
   8.000   1.1851   0.01031   0.00551  -0.0442   0.0689   1.0000
   9.000   1.2783   0.01156   0.00668  -0.0381   0.0500   1.0000
  10.000   1.3635   0.01299   0.00810  -0.0308   0.0390   1.0000
  11.000   1.4446   0.01479   0.00993  -0.0233   0.0314   1.0000
  12.000   1.5190   0.01720   0.01243  -0.0158   0.0262   1.0000
  13.000   1.5834   0.02057   0.01593  -0.0085   0.0225   1.0000
  15.000   1.6751   0.03195   0.02769   0.0031   0.0173   1.0000
