  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.800 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.000  -1.4071   0.01582   0.01125  -0.0535   0.9987   0.0184
 -14.000  -1.2950   0.01408   0.00947  -0.0555   0.9958   0.0202
 -13.000  -1.1779   0.01260   0.00798  -0.0581   0.9922   0.0225
 -12.000  -1.0741   0.01140   0.00676  -0.0572   0.9787   0.0252
 -11.000  -0.9741   0.01041   0.00573  -0.0551   0.9585   0.0284
 -10.000  -0.8696   0.00955   0.00482  -0.0538   0.9326   0.0324
  -9.000  -0.7620   0.00879   0.00401  -0.0529   0.9031   0.0379
  -8.000  -0.6522   0.00815   0.00332  -0.0524   0.8698   0.0457
  -7.000  -0.5413   0.00760   0.00272  -0.0520   0.8307   0.0564
  -6.000  -0.4294   0.00712   0.00222  -0.0518   0.7854   0.0726
  -5.000  -0.3170   0.00674   0.00181  -0.0516   0.7347   0.0952
  -4.000  -0.2041   0.00644   0.00148  -0.0516   0.6801   0.1267
  -3.000  -0.0909   0.00621   0.00125  -0.0516   0.6236   0.1697
  -2.000   0.0227   0.00604   0.00110  -0.0517   0.5688   0.2222
  -1.000   0.1365   0.00592   0.00103  -0.0518   0.5194   0.2855
  -0.000   0.2504   0.00584   0.00103  -0.0520   0.4748   0.3597
   1.000   0.3638   0.00571   0.00108  -0.0522   0.4360   0.4680
   4.000   0.6966   0.00618   0.00184  -0.0513   0.2807   0.7991
   5.000   0.8022   0.00668   0.00234  -0.0500   0.2206   0.8996
   7.000   1.0161   0.00845   0.00374  -0.0484   0.1144   0.9966
   8.000   1.1356   0.00955   0.00461  -0.0509   0.0803   1.0000
   9.000   1.2212   0.01053   0.00545  -0.0460   0.0596   1.0000
  10.000   1.3130   0.01163   0.00645  -0.0427   0.0461   1.0000
  11.000   1.4013   0.01283   0.00760  -0.0391   0.0372   1.0000
  12.000   1.4766   0.01420   0.00895  -0.0334   0.0311   1.0000
  13.000   1.5477   0.01590   0.01066  -0.0277   0.0267   1.0000
  14.000   1.6123   0.01808   0.01289  -0.0221   0.0234   1.0000
  15.000   1.6687   0.02100   0.01587  -0.0166   0.0209   1.0000
