  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   0.000 (top)        0.000 (bottom)  
 Mach =   0.300     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3008   0.01509   0.00696  -0.0648   0.9293   0.0000
  -3.000  -0.0612   0.01300   0.00472  -0.0627   0.8560   0.0000
  -1.000   0.1672   0.01221   0.00364  -0.0588   0.7473   0.0000
   1.000   0.2835   0.01299   0.00456  -0.0346   0.0000   0.8844
   3.000   0.6103   0.01496   0.00620  -0.0520   0.0000   0.9960
   5.000   0.7689   0.01662   0.00770  -0.0379   0.0000   1.0000
   7.000   0.9182   0.01949   0.01063  -0.0221   0.0000   1.0000
   9.000   1.0568   0.02472   0.01617  -0.0089   0.0000   1.0000
  10.000   1.1144   0.02886   0.02056  -0.0034   0.0000   1.0000
  11.000   1.1610   0.03456   0.02657   0.0009   0.0000   1.0000
  12.000   1.1942   0.04230   0.03468   0.0034   0.0000   1.0000
  13.000   1.2122   0.05250   0.04530   0.0038   0.0000   1.0000
  14.000   1.2144   0.06555   0.05879   0.0020   0.0000   1.0000
  15.000   1.2012   0.08159   0.07530  -0.0024   0.0000   1.0000
  16.000   1.1750   0.10063   0.09481  -0.0094   0.0000   1.0000
  17.000   1.1407   0.12239   0.11704  -0.0197   0.0000   1.0000
  18.000   1.0998   0.14715   0.14226  -0.0339   0.0000   1.0000
  19.000   1.0546   0.17531   0.17083  -0.0521   0.0000   1.0000
  20.000   1.0306   0.20145   0.19728  -0.0697   0.0000   1.0000
  21.000   1.0296   0.22385   0.21990  -0.0849   0.0000   1.0000
  22.000   1.0413   0.24392   0.24012  -0.0988   0.0000   1.0000
  23.000   1.0604   0.26252   0.25885  -0.1118   0.0000   1.0000
  24.000   1.0836   0.28029   0.27672  -0.1244   0.0000   1.0000
