"Plane Section_0.75: Direction [1,0,0] (m)",Plane Section_0.75: Pressure Coefficient,,
0.09250674,0.918190197,0.092487176,0.774939676
0.092893197,0.802939043,0.092738449,0.583925361
0.093601811,0.348135091,0.093142095,0.02983178
0.09453565,0.096909425,0.093354269,0.021539077
0.095725571,-0.026332708,0.093720577,-0.277976149
0.097201752,-0.103604487,0.094445408,-0.46503417
0.098809442,-0.149936032,0.095128437,-0.484146692
0.10069982,-0.164057994,0.096197693,-0.523304291
0.1030698,-0.17871445,0.097882431,-0.602516737
0.10589772,-0.177529084,0.099975685,-0.645483417
0.109581132,-0.170196258,0.102542889,-0.663729763
0.113650674,-0.153904203,0.104192918,-0.670097892
0.119089092,-0.127917155,0.105439494,-0.68451367
0.126502249,-0.098451314,0.108725876,-0.678344378
0.134860665,-0.069895584,0.114086592,-0.669805529
0.143472889,-0.048598679,0.120353679,-0.641871995
0.151513884,-0.025625567,0.126313059,-0.605852292
0.158967815,-0.003607685,0.132545619,-0.544521911
0.166229729,0.019710215,0.139229301,-0.492125285
0.173667118,0.043414869,0.146882984,-0.406575072
0.180352823,0.068240392,0.15556173,-0.339708542
0.185773615,0.091078117,0.163276942,-0.26745535
0.190563151,0.117000646,0.169799418,-0.225849704
0.194309304,0.142503111,0.173031145,-0.182336038
0.196672592,0.170250026,0.175420184,-0.169217509
0.197918384,0.167666815,0.180455474,-0.115254748
0.198260232,0.016410377,0.185559502,-0.060880077
,,0.189785127,-0.005708986
,,0.19342704,0.050585405
,,0.19623018,0.099963285
,,0.197798003,0.1426692
,,0.198260232,-0.176119773
,,0.198260232,-0.053429019
