#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00157  0.86599  0.008359  0.004047  0.000751     2.066
   0.00312  0.99698  0.00234  0.87046  0.008058  0.003963  0.000806     2.033
   0.00803  0.99220  0.00350  0.87806  0.007589  0.003827  0.000903     1.983
   0.01326  0.98711  0.00471  0.88587  0.007161  0.003694  0.001000     1.938
   0.01881  0.98172  0.00600  0.89459  0.006731  0.003554  0.001111     1.894
   0.02467  0.97602  0.00736  0.90387  0.006322  0.003413  0.001230     1.852
   0.03083  0.97002  0.00878  0.91333  0.005948  0.003277  0.001351     1.815
   0.03730  0.96372  0.01024  0.92302  0.005604  0.003146  0.001475     1.781
   0.04406  0.95714  0.01176  0.93284  0.005287  0.003020  0.001602     1.751
   0.05108  0.95029  0.01333  0.94266  0.004998  0.002900  0.001729     1.724
   0.05835  0.94320  0.01494  0.95244  0.004735  0.002786  0.001856     1.700
   0.06582  0.93591  0.01657  0.96189  0.004501  0.002681  0.001978     1.679
   0.07347  0.92845  0.01823  0.97136  0.004282  0.002580  0.002103     1.660
   0.08126  0.92083  0.01991  0.98065  0.004082  0.002485  0.002225     1.643
   0.08918  0.91310  0.02159  0.98945  0.003905  0.002399  0.002341     1.628
   0.09720  0.90526  0.02328  0.99806  0.003741  0.002317  0.002455     1.615
   0.10531  0.89733  0.02496  1.00620  0.003595  0.002242  0.002563     1.604
   0.11349  0.88932  0.02664  1.01405  0.003460  0.002171  0.002667     1.594
   0.12173  0.88125  0.02832  1.02153  0.003337  0.002105  0.002766     1.585
   0.13003  0.87312  0.02998  1.02874  0.003223  0.002043  0.002863     1.577
   0.13837  0.86495  0.03164  1.03589  0.003114  0.001983  0.002960     1.570
   0.14673  0.85675  0.03329  1.04270  0.003013  0.001927  0.003052     1.563
   0.15512  0.84852  0.03492  1.04948  0.002916  0.001873  0.003146     1.557
   0.16352  0.84028  0.03653  1.05575  0.002829  0.001822  0.003233     1.552
   0.17193  0.83203  0.03813  1.06200  0.002744  0.001773  0.003320     1.547
   0.18035  0.82375  0.03971  1.06799  0.002664  0.001727  0.003405     1.543
   0.18878  0.81547  0.04127  1.07392  0.002587  0.001682  0.003491     1.538
   0.19722  0.80717  0.04282  1.07946  0.002517  0.001639  0.003570     1.535
   0.20567  0.79886  0.04434  1.08509  0.002446  0.001598  0.003653     1.531
   0.21412  0.79054  0.04585  1.09040  0.002381  0.001558  0.003732     1.528
