#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00157  0.93604  0.013685  0.007806  0.002307     1.753
   0.00312  0.99698  0.00234  0.93896  0.013478  0.007711  0.002349     1.748
   0.00803  0.99220  0.00350  0.94404  0.013121  0.007550  0.002428     1.738
   0.01326  0.98711  0.00471  0.94906  0.012791  0.007395  0.002500     1.730
   0.01881  0.98172  0.00600  0.95457  0.012441  0.007229  0.002582     1.721
   0.02467  0.97602  0.00736  0.96032  0.012095  0.007062  0.002665     1.713
   0.03083  0.97002  0.00878  0.96610  0.011768  0.006897  0.002743     1.706
   0.03730  0.96372  0.01024  0.97196  0.011455  0.006735  0.002819     1.701
   0.04406  0.95714  0.01176  0.97791  0.011157  0.006575  0.002890     1.697
   0.05108  0.95029  0.01333  0.98387  0.010877  0.006418  0.002955     1.695
   0.05835  0.94320  0.01494  0.98984  0.010615  0.006265  0.003012     1.694
   0.06582  0.93591  0.01657  0.99569  0.010377  0.006119  0.003059     1.696
   0.07347  0.92845  0.01823  1.00157  0.010154  0.005976  0.003097     1.699
   0.08126  0.92083  0.01991  1.00737  0.009951  0.005837  0.003124     1.705
   0.08918  0.91310  0.02159  1.01297  0.009776  0.005706  0.003135     1.713
   0.09720  0.90526  0.02328  1.01846  0.009622  0.005581  0.003131     1.724
   0.10531  0.89733  0.02496  1.02375  0.009496  0.005462  0.003107     1.739
   0.11349  0.88932  0.02664  1.02890  0.009395  0.005348  0.003064     1.757
   0.12173  0.88125  0.02832  1.03390  0.009321  0.005240  0.003000     1.779
   0.13003  0.87312  0.02998  1.03881  0.009272  0.005135  0.002915     1.806
   0.13837  0.86495  0.03164  1.04372  0.009246  0.005033  0.002808     1.837
   0.14673  0.85675  0.03329  1.04859  0.009251  0.004933  0.002677     1.875
   0.15512  0.84852  0.03492  1.05355  0.009282  0.004833  0.002524     1.921
   0.16352  0.84028  0.03653  1.05856  0.009350  0.004734  0.002343     1.975
   0.17193  0.83203  0.03813  1.06386  0.009448  0.004632  0.002141     2.040
   0.18035  0.82375  0.03971  1.06949  0.009583  0.004526  0.001968     2.117
   0.18878  0.81547  0.04127  1.07566  0.009752  0.004412  0.001795     2.210
   0.19722  0.80717  0.04282  1.08248  0.009962  0.004289  0.001595     2.323
   0.20567  0.79886  0.04434  1.09028  0.010205  0.004150  0.001369     2.459
   0.21412  0.79054  0.04585  1.09925  0.010487  0.003994  0.001118     2.625
   0.22258  0.78222  0.04734  1.10969  0.010798  0.003817  0.000848     2.829
   0.23104  0.77388  0.04882  1.12181  0.011135  0.003614  0.000565     3.081
   0.23950  0.76555  0.05027  1.13555  0.011491  0.003390  0.000286     3.390
   0.24796  0.75722  0.05170  1.15139  0.011853  0.003137  0.000027     3.779
   0.25641  0.74888  0.05312  1.17032  0.012202  0.002843 -0.000180     4.291
   0.26487  0.74054  0.05451  1.19120  0.012518  0.002530 -0.000271     4.948
   0.27333  0.73220  0.05589  1.21158  0.012791  0.002235 -0.000311     5.724
   0.28178  0.72385  0.05725  1.23171  0.012989  0.001953 -0.000331     6.649
   0.29024  0.71550  0.05858  1.23641  0.013193  0.001890 -0.000423     6.980
   0.29869  0.70715  0.05990  1.23746  0.013333  0.001877 -0.000424     7.104
   0.30714  0.69880  0.06120  1.23845  0.013404  0.001864 -0.000426     7.190
   0.31559  0.69044  0.06247  1.23941  0.013420  0.001852 -0.000428     7.246
   0.32404  0.68209  0.06373  1.24033  0.013392  0.001841 -0.000430     7.276
   0.33248  0.67374  0.06497  1.24124  0.013326  0.001829 -0.000433     7.285
   0.34092  0.66539  0.06618  1.24214  0.013226  0.001818 -0.000436     7.274
   0.34936  0.65704  0.06738  1.24302  0.013099  0.001807 -0.000440     7.247
   0.35779  0.64869  0.06855  1.24391  0.012947  0.001797 -0.000443     7.205
   0.36621  0.64035  0.06970  1.24480  0.012770  0.001786 -0.000447     7.149
   0.37463  0.63201  0.07083  1.24570  0.012576  0.001776 -0.000452     7.082
   0.38304  0.62367  0.07194  1.24661  0.012364  0.001765 -0.000456     7.004
   0.39144  0.61533  0.07302  1.24754  0.012138  0.001755 -0.000461     6.917
   0.39984  0.60700  0.07409  1.24848  0.011897  0.001744 -0.000466     6.820
   0.40824  0.59867  0.07513  1.24946  0.011646  0.001734 -0.000472     6.717
   0.41663  0.59034  0.07615  1.25046  0.011382  0.001723 -0.000478     6.606
   0.42501  0.58202  0.07714  1.25150  0.011112  0.001712 -0.000485     6.491
   0.43339  0.57370  0.07812  1.25258  0.010835  0.001701 -0.000492     6.370
   0.44176  0.56538  0.07906  1.25371  0.010551  0.001690 -0.000499     6.245
   0.45013  0.55707  0.07999  1.25489  0.010260  0.001678 -0.000507     6.115
   0.45848  0.54876  0.08089  1.25612  0.009966  0.001666 -0.000516     5.982
