#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00157  0.93793  0.014987  0.008251  0.002178     1.816
   0.00312  0.99698  0.00234  0.94078  0.014761  0.008154  0.002221     1.810
   0.00803  0.99220  0.00350  0.94569  0.014377  0.007991  0.002298     1.799
   0.01326  0.98711  0.00471  0.95059  0.014017  0.007833  0.002372     1.790
   0.01881  0.98172  0.00600  0.95599  0.013634  0.007663  0.002454     1.779
   0.02467  0.97602  0.00736  0.96165  0.013252  0.007490  0.002540     1.769
   0.03083  0.97002  0.00878  0.96739  0.012887  0.007319  0.002623     1.761
   0.03730  0.96372  0.01024  0.97327  0.012534  0.007149  0.002706     1.753
   0.04406  0.95714  0.01176  0.97927  0.012193  0.006980  0.002786     1.747
   0.05108  0.95029  0.01333  0.98533  0.011869  0.006814  0.002864     1.742
   0.05835  0.94320  0.01494  0.99144  0.011561  0.006652  0.002936     1.738
   0.06582  0.93591  0.01657  0.99748  0.011276  0.006495  0.003001     1.736
   0.07347  0.92845  0.01823  1.00358  0.011004  0.006340  0.003061     1.736
   0.08126  0.92083  0.01991  1.00964  0.010751  0.006191  0.003114     1.737
   0.08918  0.91310  0.02159  1.01553  0.010525  0.006049  0.003154     1.740
   0.09720  0.90526  0.02328  1.02133  0.010319  0.005913  0.003183     1.745
   0.10531  0.89733  0.02496  1.02694  0.010137  0.005783  0.003198     1.753
   0.11349  0.88932  0.02664  1.03241  0.009979  0.005660  0.003198     1.763
   0.12173  0.88125  0.02832  1.03772  0.009843  0.005542  0.003182     1.776
   0.13003  0.87312  0.02998  1.04291  0.009730  0.005429  0.003150     1.792
   0.13837  0.86495  0.03164  1.04804  0.009635  0.005319  0.003101     1.812
   0.14673  0.85675  0.03329  1.05305  0.009566  0.005214  0.003033     1.835
   0.15512  0.84852  0.03492  1.05804  0.009517  0.005111  0.002946     1.862
   0.16352  0.84028  0.03653  1.06290  0.009498  0.005013  0.002835     1.895
   0.17193  0.83203  0.03813  1.06782  0.009502  0.004915  0.002703     1.933
   0.18035  0.82375  0.03971  1.07279  0.009534  0.004818  0.002549     1.979
   0.18878  0.81547  0.04127  1.07794  0.009594  0.004720  0.002372     2.033
   0.19722  0.80717  0.04282  1.08329  0.009688  0.004620  0.002172     2.097
   0.20567  0.79886  0.04434  1.08905  0.009810  0.004515  0.002007     2.173
   0.21412  0.79054  0.04585  1.09528  0.009967  0.004404  0.001839     2.263
   0.22258  0.78222  0.04734  1.10221  0.010155  0.004282  0.001648     2.371
   0.23104  0.77388  0.04882  1.11001  0.010376  0.004148  0.001432     2.501
   0.23950  0.76555  0.05027  1.11893  0.010629  0.003998  0.001192     2.659
   0.24796  0.75722  0.05170  1.12918  0.010912  0.003829  0.000931     2.850
   0.25641  0.74888  0.05312  1.14099  0.011220  0.003638  0.000656     3.084
   0.26487  0.74054  0.05451  1.15439  0.011547  0.003426  0.000378     3.371
   0.27333  0.73220  0.05589  1.16961  0.011882  0.003190  0.000114     3.725
   0.28178  0.72385  0.05725  1.18722  0.012215  0.002924 -0.000118     4.177
   0.29024  0.71550  0.05858  1.20809  0.012518  0.002618 -0.000244     4.781
   0.29869  0.70715  0.05990  1.22880  0.012792  0.002325 -0.000300     5.501
   0.30714  0.69880  0.06120  1.24923  0.013008  0.002046 -0.000325     6.359
   0.31559  0.69044  0.06247  1.26492  0.013171  0.001838 -0.000441     7.165
   0.32404  0.68209  0.06373  1.26603  0.013334  0.001825 -0.000442     7.307
   0.33248  0.67374  0.06497  1.26708  0.013419  0.001812 -0.000443     7.406
   0.34092  0.66539  0.06618  1.26809  0.013445  0.001800 -0.000446     7.469
   0.34936  0.65704  0.06738  1.26906  0.013425  0.001788 -0.000448     7.507
   0.35779  0.64869  0.06855  1.27002  0.013364  0.001777 -0.000451     7.521
   0.36621  0.64035  0.06970  1.27095  0.013267  0.001766 -0.000454     7.513
   0.37463  0.63201  0.07083  1.27189  0.013143  0.001755 -0.000458     7.489
   0.38304  0.62367  0.07194  1.27282  0.012991  0.001744 -0.000462     7.448
   0.39144  0.61533  0.07302  1.27375  0.012818  0.001734 -0.000466     7.393
   0.39984  0.60700  0.07409  1.27469  0.012623  0.001723 -0.000470     7.325
   0.40824  0.59867  0.07513  1.27565  0.012411  0.001713 -0.000475     7.246
   0.41663  0.59034  0.07615  1.27662  0.012181  0.001702 -0.000480     7.156
   0.42501  0.58202  0.07714  1.27761  0.011939  0.001692 -0.000486     7.058
   0.43339  0.57370  0.07812  1.27863  0.011685  0.001681 -0.000492     6.951
   0.44176  0.56538  0.07906  1.27969  0.011419  0.001670 -0.000498     6.837
   0.45013  0.55707  0.07999  1.28078  0.011142  0.001659 -0.000505     6.715
   0.45848  0.54876  0.08089  1.28191  0.010858  0.001648 -0.000513     6.587
   0.46682  0.54047  0.08177  1.28309  0.010569  0.001637 -0.000521     6.456
   0.47515  0.53218  0.08262  1.28433  0.010271  0.001625 -0.000529     6.319
   0.48347  0.52390  0.08344  1.28562  0.009971  0.001614 -0.000538     6.180
   0.49177  0.51564  0.08424  1.28699  0.009669  0.001601 -0.000548     6.038
   0.50006  0.50739  0.08502  1.28843  0.009365  0.001589 -0.000558     5.894
   0.50834  0.49914  0.08576  1.28995  0.009061  0.001576 -0.000567     5.750
   0.51661  0.49090  0.08648  1.29157  0.008757  0.001563 -0.000573     5.604
   0.52487  0.48267  0.08717  1.29329  0.008454  0.001549 -0.000579     5.458
   0.53313  0.47444  0.08784  1.29512  0.008154  0.001534 -0.000582     5.314
   0.54137  0.46622  0.08847  1.29707  0.007854  0.001520 -0.000582     5.168
   0.54960  0.45801  0.08908  1.29914  0.007559  0.001504 -0.000575     5.025
   0.55781  0.44982  0.08966  1.30135  0.007265  0.001488 -0.000561     4.881
   0.56600  0.44165  0.09021  1.30370  0.006975  0.001472 -0.000535     4.738
   0.57416  0.43351  0.09074  1.30620  0.006691  0.001455 -0.000495     4.598
   0.58229  0.42539  0.09123  1.30885  0.006411  0.001438 -0.000438     4.460
   0.59039  0.41731  0.09168  1.31163  0.006140  0.001420 -0.000363     4.325
   0.59845  0.40926  0.09210  1.31454  0.005880  0.001401 -0.000268     4.196
   0.60647  0.40125  0.09249  1.31760  0.005630  0.001383 -0.000150     4.072
   0.61445  0.39327  0.09283  1.32081  0.005392  0.001363 -0.000012     3.955
   0.62241  0.38532  0.09314  1.32418  0.005165  0.001343  0.000147     3.845
   0.63034  0.37740  0.09341  1.32772  0.004953  0.001323  0.000320     3.745
   0.63823  0.36951  0.09364  1.33141  0.004751  0.001302  0.000514     3.651
   0.64611  0.36164  0.09382  1.33523  0.004563  0.001280  0.000720     3.565
   0.65395  0.35379  0.09397  1.33915  0.004386  0.001258  0.000937     3.487
   0.66177  0.34597  0.09407  1.34317  0.004222  0.001236  0.001163     3.415
   0.66957  0.33817  0.09414  1.34725  0.004066  0.001214  0.001401     3.350
   0.67734  0.33040  0.09415  1.35134  0.003924  0.001192  0.001633     3.293
   0.68509  0.32265  0.09413  1.35547  0.003788  0.001169  0.001877     3.239
   0.69281  0.31493  0.09406  1.35957  0.003662  0.001147  0.002121     3.192
   0.70051  0.30724  0.09395  1.36365  0.003544  0.001126  0.002365     3.149
   0.70818  0.29957  0.09379  1.36767  0.003433  0.001104  0.002608     3.110
   0.71582  0.29193  0.09358  1.37165  0.003328  0.001082  0.002855     3.074
   0.72343  0.28432  0.09333  1.37557  0.003228  0.001061  0.003103     3.041
   0.73102  0.27674  0.09303  1.37937  0.003135  0.001041  0.003341     3.013
   0.73858  0.26919  0.09269  1.38313  0.003045  0.001020  0.003588     2.986
   0.74610  0.26168  0.09230  1.38679  0.002960  0.000999  0.003833     2.961
   0.75359  0.25420  0.09186  1.39038  0.002876  0.000979  0.004087     2.937
   0.76104  0.24677  0.09137  1.39381  0.002800  0.000959  0.004324     2.918
   0.76845  0.23938  0.09083  1.39722  0.002722  0.000940  0.004584     2.897
   0.77581  0.23203  0.09025  1.40050  0.002648  0.000920  0.004841     2.878
   0.78313  0.22474  0.08962  1.40366  0.002578  0.000901  0.005099     2.861
   0.79040  0.21751  0.08894  1.40673  0.002508  0.000882  0.005368     2.844
   0.79761  0.21033  0.08821  1.40961  0.002442  0.000863  0.005623     2.830
   0.80477  0.20322  0.08743  1.41243  0.002377  0.000844  0.005895     2.816
   0.81187  0.19617  0.08660  1.41507  0.002315  0.000826  0.006160     2.804
   0.81890  0.18919  0.08572  1.41768  0.002252  0.000807  0.006454     2.790
   0.82586  0.18229  0.08480  1.42001  0.002194  0.000789  0.006716     2.780
   0.83275  0.17547  0.08383  1.42229  0.002136  0.000771  0.007002     2.769
   0.83955  0.16875  0.08281  1.42438  0.002080  0.000754  0.007280     2.760
   0.84627  0.16212  0.08175  1.42633  0.002026  0.000736  0.007555     2.753
   0.85288  0.15559  0.08064  1.42832  0.001969  0.000718  0.007892     2.741
   0.85939  0.14919  0.07950  1.43005  0.001915  0.000701  0.008210     2.732
   0.86578  0.14291  0.07831  1.43167  0.001861  0.000684  0.008558     2.722
   0.87204  0.13676  0.07709  1.43301  0.001810  0.000667  0.008885     2.715
   0.87818  0.13076  0.07584  1.43425  0.001759  0.000650  0.009243     2.706
   0.88417  0.12491  0.07456  1.43525  0.001710  0.000634  0.009595     2.699
