  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2409                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.300     Re =     3.800 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -15.000  -0.6378   0.18018   0.17924   0.0260   1.0000   0.0045
 -14.000  -0.6185   0.16072   0.15979   0.0172   1.0000   0.0044
 -13.000  -0.7717   0.10423   0.10321  -0.0107   1.0000   0.0059
 -12.000  -0.8657   0.07206   0.07101  -0.0326   1.0000   0.0057
 -11.000  -0.9752   0.03214   0.03079  -0.0665   1.0000   0.0054
 -10.000  -0.9541   0.01693   0.01425  -0.0627   0.9984   0.0058
  -9.000  -0.8251   0.01213   0.00871  -0.0637   0.9944   0.0067
  -8.000  -0.6954   0.00968   0.00586  -0.0635   0.9836   0.0080
  -7.000  -0.5794   0.00827   0.00420  -0.0604   0.9555   0.0096
  -6.000  -0.4610   0.00727   0.00301  -0.0584   0.9249   0.0122
  -5.000  -0.3415   0.00659   0.00216  -0.0570   0.8846   0.0166
  -4.000  -0.2219   0.00609   0.00152  -0.0562   0.8321   0.0257
  -3.000  -0.1026   0.00575   0.00107  -0.0557   0.7673   0.0475
  -2.000   0.0163   0.00548   0.00077  -0.0554   0.6930   0.1005
  -1.000   0.1347   0.00527   0.00061  -0.0554   0.6130   0.1981
   0.000   0.2529   0.00509   0.00058  -0.0554   0.5373   0.3421
   1.000   0.3700   0.00475   0.00068  -0.0555   0.4687   0.5938
   2.000   0.4855   0.00456   0.00090  -0.0549   0.3940   0.8414
   3.000   0.5985   0.00505   0.00131  -0.0535   0.2732   0.9920
   4.000   0.7181   0.00637   0.00199  -0.0539   0.1184   1.0000
   5.000   0.8302   0.00750   0.00278  -0.0522   0.0418   1.0000
   6.000   0.9448   0.00848   0.00364  -0.0505   0.0204   1.0000
   7.000   1.0595   0.00951   0.00468  -0.0486   0.0129   1.0000
   8.000   1.1724   0.01078   0.00601  -0.0459   0.0093   1.0000
   9.000   1.2818   0.01241   0.00778  -0.0422   0.0072   1.0000
  10.000   1.3861   0.01450   0.01012  -0.0374   0.0060   1.0000
  11.000   1.4778   0.01747   0.01346  -0.0305   0.0051   1.0000
  12.000   1.5391   0.02178   0.01828  -0.0197   0.0045   1.0000
  13.000   1.5335   0.02998   0.02720  -0.0058   0.0041   1.0000
  14.000   1.4873   0.04603   0.04395  -0.0039   0.0040   1.0000
  15.000   1.4165   0.07122   0.06964  -0.0156   0.0039   1.0000
  16.000   1.3273   0.10299   0.10172  -0.0327   0.0039   1.0000
  17.000   1.2262   0.13950   0.13840  -0.0529   0.0041   1.0000
