  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         

 iter = 20
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.300     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3136   0.01353   0.00670  -0.0643   0.9289   0.1818
  -3.000  -0.0804   0.01097   0.00453  -0.0610   0.8551   0.3403
  -1.000   0.1380   0.00943   0.00364  -0.0548   0.7491   0.6189
   1.000   0.3518   0.00946   0.00401  -0.0463   0.6339   0.8829
   3.000   0.6627   0.01101   0.00508  -0.0590   0.5224   0.9886
   5.000   0.8744   0.01229   0.00604  -0.0543   0.4125   1.0000
   7.000   1.0235   0.01477   0.00814  -0.0365   0.2796   1.0000
   9.000   1.1349   0.02010   0.01307  -0.0157   0.1496   1.0000
   9.000   1.1349   0.02010   0.01307  -0.0157   0.1496   1.0000
  10.000   1.1774   0.02454   0.01749  -0.0067   0.1118   1.0000
  11.000   1.2090   0.03069   0.02374   0.0003   0.0892   1.0000
  12.000   1.2321   0.03860   0.03186   0.0050   0.0747   1.0000
  13.000   1.2479   0.04804   0.04151   0.0076   0.0647   1.0000
  14.000   1.2586   0.05888   0.05269   0.0086   0.0571   1.0000
  15.000   1.2633   0.07116   0.06530   0.0078   0.0514   1.0000
  16.000   1.2566   0.08578   0.08035   0.0047   0.0470   1.0000
  17.000   1.2394   0.10285   0.09786  -0.0014   0.0437   1.0000
  18.000   1.2013   0.12490   0.12048  -0.0130   0.0413   1.0000
